8319 32655
31 25 1
36 8 1
49 46 1
55 35 1
75 42 1
89 42 1
89 75 1
92 75 1
95 29 1
119 93 1
123 93 1
124 2 1
132 25 1
134 93 1
134 119 1
148 42 1
148 75 1
151 35 1
151 55 1
160 108 1
162 136 1
164 71 1
169 42 1
169 75 1
169 92 1
169 148 1
174 132 1
175 126 1
181 100 1
189 182 1
193 132 1
195 68 1
196 5 1
197 25 1
204 180 1
207 141 1
218 174 1
229 6 1
232 225 1
233 99 1
236 113 1
238 224 1
241 172 1
244 52 1
245 42 1
250 209 1
254 31 1
254 174 1
262 42 1
262 139 1
264 55 1
264 151 1
269 152 1
275 174 1
278 276 1
280 47 1
289 197 1
293 3 1
294 75 1
295 75 1
295 222 1
295 242 1
299 243 1
299 256 1
303 224 1
307 258 1
309 71 1
311 4 1
311 209 1
311 250 1
313 116 1
316 242 1
320 126 1
320 175 1
320 226 1
321 148 1
321 169 1
324 12 1
326 174 1
326 275 1
327 194 1
328 226 1
328 258 1
330 229 1
331 71 1
331 169 1
331 309 1
343 293 1
344 160 1
345 141 1
345 232 1
349 329 1
350 41 1
352 276 1
356 245 1
356 335 1
359 163 1
364 14 1
366 68 1
369 364 1
371 42 1
371 75 1
371 92 1
371 169 1
371 196 1
373 212 1
373 268 1
373 368 1
374 42 1
374 75 1
376 187 1
378 375 1
380 182 1
383 180 1
387 75 1
390 191 1
390 342 1
392 29 1
392 95 1
393 156 1
393 297 1
394 37 1
395 244 1
398 62 1
402 50 1
402 242 1
407 293 1
407 343 1
412 250 1
412 311 1
415 185 1
416 42 1
416 75 1
416 294 1
417 367 1
419 259 1
420 204 1
427 8 1
427 41 1
427 84 1
434 58 1
434 349 1
436 369 1
440 115 1
440 286 1
442 345 1
443 324 1
451 50 1
453 9 1
453 150 1
454 82 1
460 5 1
460 42 1
460 75 1
460 148 1
460 196 1
460 233 1
460 371 1
461 165 1
466 25 1
468 71 1
468 75 1
468 169 1
468 295 1
468 402 1
470 432 1
477 454 1
479 25 1
480 256 1
481 256 1
481 299 1
482 174 1
482 197 1
482 326 1
483 300 1
492 29 1
492 95 1
493 79 1
493 270 1
494 42 1
494 371 1
495 265 1
495 319 1
500 59 1
500 320 1
502 141 1
502 207 1
502 323 1
503 493 1
506 318 1
508 320 1
509 165 1
511 435 1
513 75 1
513 402 1
513 490 1
515 112 1
518 172 1
518 415 1
519 153 1
520 88 1
521 50 1
521 90 1
521 139 1
521 262 1
521 335 1
521 346 1
528 24 1
528 112 1
528 273 1
530 156 1
531 431 1
533 75 1
535 385 1
535 509 1
540 295 1
540 468 1
543 6 1
543 229 1
543 275 1
543 330 1
545 212 1
548 104 1
550 25 1
550 466 1
552 468 1
553 94 1
553 263 1
555 307 1
556 484 1
558 402 1
561 540 1
566 482 1
568 166 1
569 549 1
571 193 1
571 378 1
572 281 1
575 497 1
579 279 1
581 320 1
581 391 1
581 517 1
585 211 1
587 196 1
587 460 1
587 521 1
587 558 1
588 324 1
588 549 1
588 569 1
592 224 1
592 400 1
594 396 1
597 523 1
599 206 1
602 490 1
602 538 1
602 592 1
605 105 1
605 324 1
605 440 1
605 443 1
605 475 1
605 497 1
607 338 1
607 408 1
608 25 1
608 193 1
609 182 1
609 380 1
609 417 1
610 31 1
610 495 1
613 263 1
615 75 1
615 387 1
617 35 1
618 244 1
618 395 1
620 34 1
621 323 1
625 75 1
625 148 1
625 169 1
625 468 1
625 513 1
625 592 1
629 24 1
629 112 1
629 528 1
630 333 1
631 324 1
632 25 1
632 121 1
633 565 1
634 279 1
634 579 1
635 263 1
641 112 1
641 315 1
641 536 1
642 68 1
642 195 1
642 196 1
642 346 1
643 209 1
643 311 1
644 113 1
644 231 1
644 605 1
645 163 1
645 359 1
645 517 1
645 581 1
646 25 1
646 465 1
651 40 1
652 500 1
657 349 1
658 408 1
659 515 1
659 528 1
660 617 1
661 428 1
663 25 1
663 174 1
663 193 1
663 252 1
663 466 1
663 608 1
666 108 1
666 160 1
667 229 1
667 330 1
668 130 1
668 421 1
671 148 1
673 50 1
675 664 1
677 12 1
677 144 1
677 324 1
677 497 1
677 631 1
680 156 1
682 129 1
685 160 1
687 199 1
694 248 1
697 33 1
697 79 1
697 125 1
697 493 1
697 501 1
697 503 1
698 115 1
698 440 1
699 388 1
700 138 1
701 41 1
701 350 1
701 427 1
704 37 1
704 173 1
706 270 1
706 697 1
710 356 1
710 416 1
711 420 1
712 25 1
712 197 1
712 466 1
712 550 1
713 38 1
713 174 1
714 238 1
715 71 1
715 222 1
716 186 1
717 97 1
721 208 1
721 303 1
722 210 1
724 31 1
725 249 1
725 265 1
725 366 1
726 75 1
726 148 1
726 295 1
728 158 1
729 75 1
730 576 1
731 324 1
732 204 1
732 420 1
734 197 1
734 263 1
734 708 1
735 569 1
735 588 1
736 42 1
737 158 1
737 572 1
737 584 1
737 728 1
738 57 1
740 560 1
742 469 1
743 70 1
743 112 1
745 547 1
747 5 1
747 196 1
748 481 1
748 605 1
750 112 1
751 545 1
753 110 1
754 324 1
754 631 1
756 275 1
756 663 1
758 285 1
762 12 1
762 212 1
764 261 1
766 245 1
766 356 1
766 400 1
768 224 1
768 489 1
768 714 1
774 646 1
776 751 1
776 762 1
779 77 1
779 399 1
782 202 1
782 326 1
784 330 1
784 738 1
785 572 1
786 641 1
787 256 1
787 299 1
787 658 1
788 323 1
791 139 1
792 70 1
792 484 1
792 702 1
795 454 1
797 357 1
802 479 1
805 31 1
805 420 1
805 711 1
807 182 1
809 454 1
812 592 1
813 25 1
815 712 1
816 408 1
816 755 1
817 367 1
818 662 1
819 593 1
820 150 1
820 453 1
821 225 1
821 232 1
822 693 1
823 209 1
823 250 1
823 311 1
823 412 1
824 585 1
825 6 1
