35111 1465654
0 296 1
0 385 1
0 463 1
0 565 1
0 870 1
0 1104 1
0 1329 1
0 2039 1
0 2173 1
0 2222 1
0 2418 1
0 2429 1
0 3049 1
0 4310 1
0 4775 1
0 5898 1
0 5985 1
0 6331 1
0 6707 1
0 6925 1
0 6965 1
0 7480 1
0 7490 1
0 7960 1
0 8072 1
0 8703 1
0 9128 1
0 10002 1
0 10364 1
0 10759 1
0 11006 1
0 12106 1
0 12500 1
0 13374 1
0 14318 1
0 14455 1
0 14693 1
0 14717 1
0 14719 1
0 14850 1
0 15035 1
0 15126 1
0 15185 1
0 15613 1
0 16418 1
0 16838 1
0 17503 1
0 18456 1
0 18818 1
0 18897 1
0 19204 1
0 19434 1
0 19951 1
0 20191 1
0 20812 1
0 21142 1
0 21289 1
0 22011 1
0 22268 1
0 22330 1
0 22530 1
0 22580 1
0 22615 1
0 22691 1
0 23074 1
0 23483 1
0 24623 1
0 24686 1
0 24847 1
0 25249 1
0 25712 1
0 27346 1
0 27589 1
0 27654 1
0 27775 1
0 27785 1
0 28891 1
0 29447 1
0 29495 1
0 29561 1
0 30397 1
0 30709 1
0 31746 1
0 32096 1
0 32136 1
0 33027 1
0 33557 1
0 33647 1
0 33880 1
0 34208 1
0 34247 1
0 34281 1
296 68 1
296 438 1
296 463 1
296 552 1
296 1109 1
296 1176 1
296 1751 1
296 2126 1
296 2173 1
296 2491 1
296 2505 1
296 2527 1
296 2598 1
296 2941 1
296 2943 1
296 2958 1
296 3219 1
296 3285 1
296 3318 1
296 3681 1
296 3801 1
296 3957 1
296 4295 1
296 4447 1
296 4828 1
296 5139 1
296 5346 1
296 5393 1
296 5397 1
296 5588 1
296 5604 1
296 5657 1
296 5918 1
296 6118 1
296 6331 1
296 6541 1
296 7099 1
296 7371 1
296 7549 1
296 8215 1
296 8348 1
296 8353 1
296 9220 1
296 9292 1
296 9407 1
296 9503 1
296 9755 1
296 9782 1
296 9997 1
296 10022 1
296 10288 1
296 10650 1
296 10715 1
296 10794 1
296 10838 1
296 10956 1
296 11340 1
296 11477 1
296 11558 1
296 11794 1
296 11797 1
296 11824 1
296 11890 1
296 12500 1
296 12706 1
296 13144 1
296 13374 1
296 13493 1
296 13534 1
296 13655 1
296 14386 1
296 14609 1
296 14717 1
296 14787 1
296 14838 1
296 14854 1
296 14855 1
296 14934 1
296 15041 1
296 15219 1
296 15289 1
296 15382 1
296 15401 1
296 15589 1
296 15845 1
296 15923 1
296 16151 1
296 16389 1
296 16432 1
296 16487 1
296 16598 1
296 16686 1
296 16977 1
296 17597 1
296 17649 1
296 17698 1
296 17871 1
296 17967 1
296 18084 1
296 18395 1
296 18859 1
296 18888 1
296 18993 1
296 19019 1
296 19077 1
296 19204 1
296 19229 1
296 19371 1
296 19385 1
296 19766 1
296 20405 1
296 20433 1
296 20536 1
296 20799 1
296 20876 1
296 20988 1
296 21044 1
296 21101 1
296 21173 1
296 21258 1
296 21548 1
296 21588 1
296 22144 1
296 22196 1
296 22286 1
296 22367 1
296 22530 1
296 23356 1
296 23399 1
296 23525 1
296 23753 1
296 23855 1
296 24124 1
296 24241 1
296 24623 1
296 24958 1
296 25047 1
296 25135 1
296 25278 1
296 25744 1
296 25877 1
296 25897 1
296 26193 1
296 26294 1
296 26312 1
296 26607 1
296 27187 1
296 27374 1
296 27576 1
296 27589 1
296 27666 1
296 28172 1
296 28394 1
296 28530 1
296 28655 1
296 28692 1
296 28891 1
296 29151 1
296 29409 1
296 29446 1
296 29447 1
296 29495 1
296 29629 1
296 29785 1
296 30348 1
296 30439 1
296 30526 1
296 30551 1
296 30767 1
296 30959 1
296 31000 1
296 31017 1
296 31053 1
296 31746 1
296 32096 1
296 32546 1
296 32621 1
296 33027 1
296 33098 1
296 33103 1
296 33246 1
296 33494 1
296 33546 1
296 33820 1
296 34423 1
296 34571 1
296 34625 1
296 34642 1
385 41 1
385 552 1
385 565 1
385 824 1
385 858 1
385 1582 1
385 2315 1
385 3123 1
385 3207 1
385 3366 1
385 4222 1
385 4231 1
385 4310 1
385 4775 1
385 5017 1
385 5175 1
385 5316 1
385 5687 1
385 5985 1
385 6108 1
385 6280 1
385 6403 1
385 6484 1
385 6707 1
385 6837 1
385 7132 1
385 7144 1
385 7149 1
385 8072 1
385 9044 1
385 9155 1
385 9214 1
385 9759 1
385 10002 1
385 10364 1
385 10502 1
385 10503 1
385 10848 1
385 11850 1
385 12424 1
385 12445 1
385 12501 1
385 12612 1
385 12905 1
385 13112 1
385 13526 1
385 14318 1
385 14455 1
385 14640 1
385 14676 1
385 14693 1
385 14835 1
385 14850 1
385 14877 1
385 15035 1
385 15271 1
385 15963 1
385 16326 1
385 16418 1
385 17041 1
385 17415 1
385 18627 1
385 18857 1
385 18925 1
385 19212 1
385 19542 1
385 19564 1
385 19951 1
385 20602 1
385 20940 1
385 21142 1
385 21170 1
385 21509 1
385 21524 1
385 22045 1
385 22203 1
385 22330 1
385 22615 1
385 23074 1
385 23788 1
385 24607 1
385 24686 1
385 25346 1
385 25712 1
385 26055 1
385 26347 1
385 26574 1
385 27228 1
385 27452 1
385 27785 1
385 27992 1
385 28302 1
385 28326 1
385 28450 1
385 29722 1
385 29960 1
385 30397 1
385 30508 1
385 30532 1
385 30779 1
385 31619 1
385 31914 1
385 32351 1
385 33538 1
385 33825 1
385 33880 1
463 185 1
463 401 1
463 870 1
463 1105 1
463 1200 1
463 1329 1
463 1532 1
463 1710 1
463 1919 1
463 2039 1
463 2127 1
463 2164 1
463 2173 1
463 2222 1
463 2505 1
463 2941 1
463 3049 1
463 3486 1
463 3597 1
463 3698 1
463 3935 1
463 4250 1
463 4646 1
463 4670 1
463 4796 1
463 4828 1
463 5097 1
463 5139 1
463 5239 1
463 5918 1
463 6007 1
463 6081 1
463 6118 1
463 6130 1
463 6280 1
463 6331 1
463 6387 1
463 6925 1
463 7137 1
463 7470 1
463 7686 1
463 7960 1
463 8140 1
463 8366 1
463 8462 1
463 8476 1
463 8519 1
463 8595 1
463 8665 1
463 8668 1
463 8748 1
463 8936 1
463 9642 1
463 9782 1
463 9957 1
463 9997 1
463 10268 1
463 10288 1
463 10621 1
463 10662 1
463 11694 1
463 11719 1
463 11864 1
463 11917 1
463 12209 1
463 12454 1
463 12500 1
463 13091 1
463 13374 1
463 13466 1
463 13485 1
463 13498 1
463 13561 1
463 13884 1
463 14220 1
463 14230 1
463 14293 1
463 14398 1
463 14445 1
463 14717 1
463 14830 1
463 14855 1
463 15088 1
463 15467 1
463 15868 1
463 15869 1
463 15927 1
463 15963 1
463 16131 1
463 16314 1
463 16418 1
463 16510 1
463 16529 1
463 16847 1
463 17210 1
463 17352 1
463 17470 1
463 17677 1
463 17879 1
463 17964 1
463 18112 1
463 18395 1
463 18671 1
463 18958 1
463 19019 1
463 19204 1
463 19434 1
463 19486 1
463 19817 1
463 19863 1
463 19945 1
463 20191 1
463 20212 1
463 20433 1
463 20658 1
463 20766 1
463 20815 1
463 21258 1
463 21289 1
463 21808 1
463 22011 1
463 22103 1
463 22212 1
463 22314 1
463 22408 1
463 22580 1
463 22915 1
463 23369 1
463 23469 1
463 23483 1
463 23769 1
463 23893 1
463 24241 1
463 24598 1
463 24623 1
463 24690 1
463 24813 1
463 25067 1
463 25075 1
463 25107 1
463 25249 1
463 25278 1
463 25641 1
463 26108 1
463 26193 1
463 26294 1
463 26482 1
463 26497 1
463 27047 1
463 27372 1
463 27378 1
463 27666 1
463 28051 1
463 28369 1
463 28502 1
463 28683 1
463 28823 1
463 28840 1
463 28891 1
463 29111 1
463 29446 1
463 29447 1
463 29451 1
463 29495 1
463 29637 1
463 29660 1
463 29696 1
463 29764 1
463 30247 1
463 30348 1
463 30399 1
463 30480 1
463 31001 1
463 31148 1
463 31221 1
463 31746 1
463 31771 1
463 31785 1
463 31929 1
463 32096 1
463 32129 1
463 32136 1
463 32311 1
463 32406 1
463 32621 1
463 32732 1
463 33027 1
463 33086 1
463 33236 1
463 33320 1
463 33474 1
463 33491 1
463 33495 1
463 33557 1
463 33647 1
463 33713 1
463 33880 1
463 34143 1
463 34196 1
463 34247 1
463 34281 1
463 34533 1
463 34751 1
463 34898 1
463 34932 1
565 23 1
565 736 1
565 870 1
565 1082 1
565 1104 1
565 1133 1
565 1202 1
565 1677 1
565 1798 1
565 1866 1
565 2756 1
565 3049 1
565 3238 1
565 3288 1
565 3334 1
565 4077 1
565 4310 1
565 4321 1
565 4507 1
565 4775 1
565 5128 1
565 5985 1
565 6174 1
565 6280 1
565 6707 1
565 6786 1
565 6965 1
565 7135 1
565 7424 1
565 7490 1
565 8072 1
565 8139 1
565 8222 1
565 8476 1
565 8611 1
565 9482 1
565 9845 1
565 10002 1
565 10221 1
565 10288 1
565 10364 1
565 10409 1
565 10502 1
565 10676 1
565 10759 1
565 10815 1
565 10919 1
565 11345 1
565 11783 1
565 12106 1
565 12424 1
565 13374 1
565 13881 1
565 13959 1
565 14230 1
565 14318 1
565 14455 1
565 14538 1
565 14628 1
565 14667 1
565 14693 1
565 14719 1
565 14850 1
565 15035 1
565 15039 1
565 15588 1
565 15613 1
565 15650 1
565 16326 1
565 16418 1
565 18030 1
565 18456 1
565 18701 1
565 18897 1
565 19204 1
565 19497 1
565 19951 1
565 20815 1
565 21142 1
565 21192 1
565 22036 1
565 22045 1
565 22077 1
565 22330 1
565 22505 1
565 22615 1
565 22945 1
565 23055 1
565 23074 1
565 23121 1
565 24197 1
565 24578 1
565 24686 1
565 25278 1
565 25567 1
565 25712 1
565 26574 1
565 27228 1
565 27346 1
565 27785 1
565 28450 1
565 28891 1
565 29145 1
565 29201 1
565 29840 1
565 30057 1
565 30203 1
565 30211 1
565 30215 1
565 30397 1
565 30709 1
565 31001 1
565 31691 1
565 31914 1
565 33049 1
565 33112 1
565 33316 1
565 33480 1
565 33557 1
565 33880 1
565 34013 1
565 34208 1
565 34222 1
565 34370 1
565 35035 1
870 3 1
870 4 1
870 7 1
870 9 1
870 14 1
870 16 1
870 18 1
870 32 1
870 36 1
870 45 1
870 53 1
870 74 1
870 75 1
870 77 1
870 82 1
870 85 1
870 87 1
870 90 1
870 95 1
870 97 1
870 120 1
870 125 1
870 127 1
870 136 1
870 138 1
870 150 1
870 158 1
870 161 1
870 164 1
870 170 1
870 190 1
870 195 1
870 207 1
870 214 1
870 220 1
870 224 1
870 230 1
870 238 1
870 242 1
870 251 1
870 257 1
870 263 1
870 264 1
870 266 1
870 267 1
870 268 1
870 275 1
870 286 1
870 302 1
870 303 1
870 305 1
870 306 1
870 327 1
870 332 1
870 341 1
870 352 1
870 355 1
870 356 1
870 370 1
870 371 1
870 380 1
870 382 1
870 408 1
870 410 1
870 413 1
870 418 1
870 421 1
870 424 1
870 426 1
870 430 1
870 432 1
870 434 1
870 441 1
870 442 1
870 443 1
870 448 1
870 454 1
870 469 1
870 481 1
870 482 1
870 485 1
870 490 1
870 510 1
870 523 1
870 533 1
870 536 1
870 539 1
870 552 1
870 563 1
870 572 1
870 583 1
870 598 1
870 607 1
870 611 1
870 617 1
870 619 1
870 626 1
870 628 1
870 638 1
870 639 1
870 647 1
870 653 1
870 656 1
870 670 1
870 675 1
870 686 1
870 690 1
870 691 1
870 697 1
870 722 1
870 730 1
870 732 1
870 736 1
870 737 1
870 742 1
870 748 1
870 756 1
870 758 1
870 774 1
870 790 1
870 791 1
870 796 1
870 798 1
870 805 1
870 806 1
870 811 1
870 813 1
870 826 1
870 827 1
870 840 1
870 841 1
870 848 1
870 855 1
870 858 1
870 859 1
870 861 1
870 862 1
870 863 1
870 868 1
870 878 1
870 880 1
870 889 1
870 948 1
870 952 1
870 957 1
870 958 1
870 959 1
870 965 1
870 969 1
870 970 1
870 971 1
870 978 1
870 989 1
870 991 1
870 1001 1
870 1003 1
870 1006 1
870 1011 1
870 1012 1
870 1015 1
870 1016 1
870 1020 1
870 1026 1
870 1030 1
870 1035 1
870 1036 1
870 1042 1
870 1055 1
870 1061 1
870 1065 1
870 1069 1
870 1076 1
870 1083 1
870 1091 1
870 1101 1
870 1102 1
870 1118 1
870 1120 1
870 1136 1
870 1139 1
870 1143 1
870 1146 1
870 1163 1
870 1190 1
870 1192 1
870 1200 1
870 1210 1
870 1217 1
870 1218 1
870 1233 1
870 1236 1
870 1239 1
870 1245 1
870 1256 1
870 1261 1
870 1266 1
870 1267 1
870 1277 1
870 1283 1
870 1291 1
870 1300 1
870 1301 1
870 1302 1
870 1304 1
870 1309 1
870 1317 1
870 1336 1
870 1340 1
870 1345 1
870 1362 1
870 1365 1
870 1366 1
870 1367 1
870 1369 1
870 1377 1
870 1383 1
870 1385 1
870 1423 1
870 1427 1
870 1428 1
870 1431 1
870 1434 1
870 1438 1
870 1440 1
870 1443 1
870 1449 1
870 1465 1
870 1471 1
870 1473 1
870 1496 1
870 1497 1
870 1499 1
870 1502 1
870 1505 1
870 1507 1
870 1512 1
870 1513 1
870 1514 1
870 1516 1
870 1524 1
870 1530 1
870 1540 1
870 1541 1
870 1542 1
870 1550 1
