dataset,nsgl_par,nsgl_gpu,tfdp_ibfft_cpu_dw,tfdp_ibfft_gpu_dw,nsgl
APH,0.6115050323372891,0.6104642389587067,0.538772901787574,0.5781608866946566,0.6171995997254279
aircraft,0.9943767638295229,0.9983383248972076,0.5066636556551745,0.7646633339211619,0.9986711023236435
co_author_8391,0.49447087650289934,0.4141840847889411,0.40564977437763994,0.36784506856183524,0.39759572081506234
socfb-Yale4,0.3300136876302375,0.3148158674998558,0.3273893684906544,0.3230903213502298,0.3151246958359659
ACO,0.3738775202876235,0.37254898886274096,0.3252436173676148,0.3586159583259399,0.3400237855826309
socfb-UF21,0.12763362807704332,0.12981275689500105,0.12291759881602438,0.11552289946019151,0.12358505771585142
soc-Flickr-ASU,0.03306206354993195,0.03268073939437269,0.026487461288598555,0.027507310970952416,0.03302030781157138
com-dblp,0.004334763761045854,0.004347197499746939,0.0020736362062868403,0.0021170288926003183,0.0043278847056539465
com-amazon,0.5862389738624475,0.5844158230714538,0.3256755095586028,0.3236522892670167,0.5796475852185166
com-youtube,0.013994959979173497,0.014894208545600687,0.027126188750328593,0.027128398095865112,0.013246135606873589
com-orkut,0.02012715077469515,0.02064495090084769,0.02292368013920915,0.02322640131085124,0.02069597009168695
com-lj,0.3921085862568787,0.38705210281769936,0.18823186113915327,0.20234793375402124,0.3929463080037644
