dataset,nsgl_par,nsgl_gpu,tfdp_ibfft_cpu_dw,tfdp_ibfft_gpu_dw,nsgl
APH,0.466059,0.466346,0.459776,0.459397,0.465145
aircraft,0.347877,0.354725,0.198194,0.32393,0.355408
co_author_8391,0.184255,0.184651,0.129229,0.129585,0.183864
socfb-Yale4,0.512773,0.513874,0.511038,0.510786,0.512902
ACO,0.359325,0.359722,0.350071,0.349556,0.359694
socfb-UF21,0.230073,0.230731,0.2286,0.228471,0.230386
soc-Flickr-ASU,0.275705,0.277369,0.276317,0.276175,0.277251
com-dblp,0.0603722,0.0597097,0.0421862,0.0424521,0.0594631
com-amazon,0.164789,0.16448,0.0506751,0.0506921,0.164825
com-youtube,0.0598545,0.0572895,0.0886448,0.0877178,0.0548705
com-orkut,0.0419082,0.0421589,0.0438378,0.0436867,0.0422608
com-lj,0.0233219,0.0229728,0.022982,0.0230995,0.0232453
