dataset,nsgl_par,nsgl_gpu,tfdp_ibfft_cpu_dw,tfdp_ibfft_gpu_dw,nsgl
APH,0.16713595390319824,0.1681872308254242,0.15738385915756226,0.15863844752311707,0.1744280457496643
aircraft,0.5918344259262085,0.5950680375099182,0.379465788602829,0.501210629940033,0.5954558849334717
co_author_8391,0.38858410716056824,0.3869370222091675,0.33722978830337524,0.3338400721549988,0.3877791464328766
socfb-Yale4,-0.23926368355751038,-0.2208246886730194,-0.23778536915779114,-0.24005039036273956,-0.22606220841407776
ACO,0.10557395219802856,0.10352855175733566,0.08297647535800934,0.08487261831760406,0.07721415907144547
socfb-UF21,-0.5275810956954956,-0.524631679058075,-0.5461336374282837,-0.5439081192016602,-0.5155218839645386
soc-Flickr-ASU,-0.362871915102005,-0.36320748925209045,-0.37021109461784363,-0.36994579434394836,-0.36165645718574524
com-dblp,-0.6682204008102417,-0.6693272590637207,-0.7479516267776489,-0.7473354339599609,-0.6696256995201111
com-amazon,0.39436104893684387,0.38604432344436646,-0.0011717018205672503,0.0034022636245936155,0.39015305042266846
com-youtube,-0.7826583981513977,-0.7768662571907043,-0.8614563941955566,-0.8646886944770813,-0.7807782888412476
com-orkut,-0.7508309483528137,-0.7489482760429382,-0.7714788317680359,-0.7657400965690613,-0.7507039308547974
com-lj,-0.22031591832637787,-0.2159826159477234,-0.2862364947795868,-0.277062326669693,-0.21833373606204987
