dataset,nsgl_p2,nsgl_p4,nsgl_p8,nsgl_p16,nsgl_p32,nsgl_p64
ACO,1.623130,0.921843,0.526218,0.364794,0.368309,0.312384
aircraft,0.142056,0.097934,0.066018,0.059861,0.049331,0.049465
APH,0.693853,0.452506,0.250721,0.240292,0.153141,0.152776
co_author_8391,0.223054,0.126877,0.074977,0.052553,0.052001,0.058305
com-amazon,2.278040,4.877400,1.837130,1.285700,1.114810,1.095740
com-dblp,6.155690,3.764700,2.026920,1.442630,1.249070,1.241690
com-lj,360.057000,160.743000,81.915900,47.954700,40.023100,38.572300
com-orkut,1151.870000,511.617000,269.958000,165.902000,128.138000,118.021000
com-youtube,19.324200,11.153100,5.916310,4.413030,3.599010,3.361030
socfb-UF21,8.838430,5.395980,2.881960,2.049620,1.791470,1.697660
socfb-Yale4,2.646040,1.519290,0.850216,0.632177,0.551217,0.583011
soc-Flickr-ASU,38.758700,20.737600,12.085400,8.222960,6.549000,5.557030
