dataset,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
APH,0.6177486922516006,0.5026465416110117,0.5049234499739826,0.6040165162249823,0.60488842329318,0.6055494847139175,0.6024645990958004,0.6016194964328627,0.5467741767515953,0.5424617570387346
aircraft,0.9986711023236436,0.9990029940111712,0.9983383248972076,0.9980076504210972,0.998006655603964,0.9966794257500092,0.992719567804548,0.9910629334023936,0.9880906678741416,0.980340787113702
co_author_8391,0.5762484261889544,0.4170421788456542,0.4279301061942699,0.3491247178454574,0.423448135768826,0.4203932194146728,0.4072819684866039,0.4179900708552741,0.4141947802495186,0.389461090237457
socfb-Yale4,0.3952111179500551,0.3881514811917343,0.3085045143824532,0.3057716282477212,0.3083375740704269,0.2861398347793667,0.2812786850024904,0.2835319041206594,0.2735648733084503,0.2639423625699751
ACO,0.3955554604548969,0.3863197606693046,0.3738226422162713,0.3819678959616644,0.3766952105172864,0.3014663259121761,0.340988212844284,0.3678268581718589,0.3651046565653289,0.3561879751366359
socfb-UF21,0.1521979319897767,0.1222343605863339,0.1235264402832019,0.1246728045205157,0.1153953732543321,0.1106289635145997,0.1049282668572855,0.1082593746896098,0.1141571173497831,0.1026144183506649
soc-Flickr-ASU,0.0340320864669374,0.0337269516975368,0.0330203078115713,0.0329806244690517,0.0315736423506158,0.0314277530944254,0.0321141277992101,0.0320455236868541,0.0275361368565924,0.0297305706014292
com-dblp,0.0039952130074081,0.0042277795694668,0.0043278847056539,0.0044207396393567,0.0044814816033438,0.0045775259227829,0.004580510891621,0.004603941791538,0.0045840140993517,0.0045915563584904
com-amazon,0.5786353740351349,0.5822172217684584,0.5796475852185166,0.583960693053933,0.5873341770455418,0.5889069117137841,0.5944087177246731,0.5927451887734393,0.5909317809539082,0.5922387021346559
com-youtube,0.0123726008294046,0.0144011560497978,0.0132461356068735,0.0132733243843399,0.0134685070380021,0.0136755896370372,0.0147115485592479,0.0133817670618478,0.0134395631263711,0.0134879650997072
com-orkut,0.014683360593831,0.0184524611549101,0.0206959700916869,0.0222134700663816,0.0235741186462305,0.0251894588949723,0.0266362559374514,0.0269236853272057,0.0273540564749364,0.0282759559617129
com-lj,0.3688494085303951,0.3874931754407699,0.3929463080037644,0.3996856904007151,0.4045975143548306,0.3970014423304054,0.4041032696280684,0.4048518676016951,0.4077908098628429,0.4029427300205777
