dataset,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
ACO,8.824,8.949,8.988,9.074,8.992,9.055,9.027,9.020,8.988,8.984
aircraft,5.402,5.379,5.301,5.453,5.477,5.469,5.539,5.285,5.285,5.430
APH,6.941,7.027,7.047,6.820,6.953,7.008,7.047,6.789,6.863,6.969
co_author_8391,5.602,5.738,5.629,5.742,5.629,5.621,5.742,5.586,5.562,5.668
com-amazon,30.277,30.148,30.117,30.246,30.211,30.207,30.188,30.082,30.035,30.070
com-dblp,31.488,31.355,31.414,31.398,31.410,31.547,31.566,31.320,31.441,31.551
com-lj,671.070,671.090,670.980,671.172,671.152,671.059,671.168,671.125,671.191,671.199
com-orkut,1898.445,1898.281,1898.441,1898.426,1898.395,1898.379,1898.230,1898.262,1898.227,1898.359
com-youtube,89.105,89.324,89.230,89.219,89.230,89.176,89.137,89.309,89.234,89.188
roadNet-TX,81.320,81.367,81.105,81.188,81.191,N/A,81.227,N/A,N/A,81.367
socfb-UF21,28.145,28.109,28.223,28.270,28.188,28.223,28.215,28.223,28.090,28.090
socfb-Yale4,11.340,11.430,11.414,11.391,11.270,11.293,11.242,11.328,11.367,11.426
soc-Flickr-ASU,97.410,97.371,97.324,97.324,97.375,97.332,97.566,97.398,97.328,97.418
twitch_gamers,25.434,25.270,25.539,25.250,25.426,N/A,25.410,N/A,N/A,25.375
