dataset,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
ACO,0.354586,0.358467,0.359827,0.359864,0.360083,0.35933,0.358237,0.358679,0.357573,0.356505
APH,0.45052,0.46488,0.466138,0.467001,0.467658,0.467087,0.465949,0.465491,0.465197,0.46428
aircraft,0.313729,0.348594,0.356196,0.350872,0.341036,0.330724,0.319856,0.307899,0.298723,0.292617
co_author_8391,0.155383,0.174321,0.184915,0.192974,0.19779,0.200991,0.204352,0.206422,0.20786,0.209881
com-amazon,0.1573,0.161714,0.164825,0.167356,0.170073,0.171403,0.172352,0.174229,0.175179,0.176036
com-dblp,0.0518173,0.0565554,0.0594631,0.0616448,0.0632051,0.0643353,0.0658453,0.0669638,0.06756,0.0685246
com-lj,0.0203334,0.022145,0.0232453,0.0240008,0.0244601,0.0248682,0.025235,0.0254619,0.0256386,0.0259228
com-orkut,0.0356449,0.0395891,0.0422608,0.0440325,0.0453946,0.0465987,0.047324,0.0478275,0.0483754,0.0487482
com-youtube,0.0490589,0.0526692,0.0548705,0.0563944,0.0570932,0.0576341,0.0577052,0.0582005,0.0585002,0.0587239
soc-Flickr-ASU,0.278359,0.278381,0.277251,0.275837,0.27474,0.273768,0.272939,0.272145,0.271464,0.270833
socfb-UF21,0.232471,0.231302,0.230357,0.229622,0.228986,0.228462,0.227949,0.227679,0.227264,0.226949
socfb-Yale4,0.518074,0.516425,0.513917,0.511376,0.509939,0.507785,0.507134,0.505498,0.505401,0.503775
