dataset,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
APH,0.17626281082630157,0.17388011515140533,0.16967374086380005,0.16283436119556427,0.15891514718532562,0.15450483560562134,0.15195606648921967,0.14796200394630432,0.146217480301857,0.1441580057144165
aircraft,0.6825549602508545,0.6326113343238831,0.5976610779762268,0.571823239326477,0.5515837073326111,0.5349686741828918,0.5190637707710266,0.505436897277832,0.49420109391212463,0.48861175775527954
co_author_8391,0.45465123653411865,0.4129887819290161,0.3879404067993164,0.3688053786754608,0.3540242910385132,0.3428744971752167,0.3328283727169037,0.32648587226867676,0.31787601113319397,0.3117275536060333
socfb-Yale4,-0.2406502664089203,-0.22429417073726654,-0.23303304612636566,-0.2532089054584503,-0.25189730525016785,-0.2764890789985657,-0.27456334233283997,-0.29382050037384033,-0.28985780477523804,-0.30801790952682495
ACO,0.12406294047832489,0.11482467502355576,0.10318019986152649,0.09820714592933655,0.09247825294733047,0.0863172858953476,0.08314749598503113,0.08036831766366959,0.07664798945188522,0.07422026991844177
socfb-UF21,-0.5097740888595581,-0.5102564096450806,-0.5316886901855469,-0.5337686538696289,-0.5397219657897949,-0.5425652265548706,-0.5386634469032288,-0.5513886213302612,-0.5543401837348938,-0.551022469997406
soc-Flickr-ASU,-0.3884722590446472,-0.36550503969192505,-0.3616504669189453,-0.36328914761543274,-0.3586798906326294,-0.3561614751815796,-0.35708269476890564,-0.3571702539920807,-0.35776641964912415,-0.35608452558517456
com-dblp,-0.6806845664978027,-0.6741205453872681,-0.6696256995201111,-0.6690143942832947,-0.666364312171936,-0.6638503074645996,-0.661932647228241,-0.6628921031951904,-0.6604673266410828,-0.6623045206069946
com-amazon,0.38099753856658936,0.385540634393692,0.3900798261165619,0.3908277451992035,0.39645707607269287,0.3960348665714264,0.3895438015460968,0.3908427655696869,0.39543408155441284,0.39054611325263977
com-youtube,-0.7898026704788208,-0.782615602016449,-0.7807782888412476,-0.7815062403678894,-0.7800959348678589,-0.778412938117981,-0.7759571075439453,-0.7753813862800598,-0.7758510708808899,-0.7754523158073425
com-orkut,-0.7536259889602661,-0.7542081475257874,-0.7559939622879028,-0.7534335255622864,-0.7534812688827515,-0.7565407752990723,-0.7500643730163574,-0.7514185905456543,-0.7546060681343079,-0.7564312219619751
com-lj,-0.242423415184021,-0.22237160801887512,-0.21833376586437225,-0.21687817573547363,-0.20934396982192993,-0.20978213846683502,-0.20548097789287567,-0.2078218162059784,-0.20979106426239014,-0.20320650935173035
