dataset,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
ACO,0.454464,0.798029,1.124750,1.488090,1.878230,2.239710,2.600540,2.980270,3.350260,3.712250
aircraft,0.037211,0.067441,0.091947,0.121795,0.153085,0.183597,0.212237,0.244653,0.276332,0.305950
APH,0.219256,0.384534,0.540544,0.716196,0.900259,1.078740,1.253620,1.435610,1.612740,1.788130
co_author_8391,0.060228,0.105590,0.149201,0.197311,0.245943,0.298981,0.344672,0.396317,0.444688,0.493148
com-amazon,2.080510,3.216580,4.368990,5.776190,7.168360,9.110020,10.005700,11.384400,13.119500,14.440000
com-dblp,2.351130,3.646400,4.873500,6.420810,8.042120,10.771300,11.264400,13.498200,14.895000,16.020800
com-lj,399.533000,620.695000,747.572000,899.838000,1078.700000,1230.060000,1377.100000,1624.260000,1723.480000,1887.200000
com-orkut,1347.960000,2167.730000,2579.570000,3116.750000,3777.380000,4334.640000,4727.750000,5298.010000,5769.110000,6268.260000
com-youtube,14.860000,22.445300,31.356300,40.938000,51.098100,68.470300,85.962300,103.211000,127.124000,150.772000
roadNet-TX,13.754700,22.242400,38.653200,34.008700,42.409400,N/A,54.222100,N/A,N/A,94.689300
socfb-UF21,2.892930,4.771880,6.779730,9.041090,11.277200,13.730500,15.682300,18.293300,20.314800,22.421300
socfb-Yale4,0.747998,1.314920,1.852370,2.454090,3.089230,3.700720,4.287680,4.916020,5.529690,6.125250
soc-Flickr-ASU,12.811700,20.074100,27.307300,36.202300,45.148100,55.242200,63.075900,72.907000,83.084200,89.514800
twitch_gamers,2.278620,3.593990,4.902620,6.483840,8.090610,N/A,11.265600,N/A,N/A,16.057700
